sample_code;Code;FW..g.;DW..g.;Bark....;Water.content..g.;Water.percentage;Plot;SubPlot;Class;Species;DiamClass;sample_density;Ntotal (g/100g);Ctotal (g/100g);Al (mg/Kg);As (mg/Kg);Be (mg/Kg);Bi (mg/Kg);B (mg/Kg);Ca (g/100g);Cd (mg/Kg);Co (mg/Kg);Cr (mg/Kg);Cu (mg/Kg);Fe (mg/Kg);K (g/100g);La (mg/Kg);Li (mg/Kg);Mg (g/100g);Mn (mg/Kg);Mo (mg/Kg);Na (g/100g);Ni (mg/Kg);Pb (mg/Kg);P (g/100g);Rb (mg/Kg);Sb (mg/Kg);Se (mg/Kg);Si (mg/Kg);S (g/100g);Sr (mg/Kg);Ti (mg/Kg);Tl (mg/Kg);V (mg/Kg);Zn (mg/Kg)
325;61AA2;2221.5;1314.16;95;907.34;40.84357416;6;1;2;AA;25;426.8470613;0.158;47.39;18.73988673;0.161812298;<0,01;<0,01;<0,01;0.098058252;0.101132686;4.05E-02;1.243932039;1.537216828;44.53883495;0.181634304;<0,01;0.303398058;0.020540049;33.38389968;<0,01;5.09E-04;0.616909385;0.303398058;0.005131472;4.176779935;<0,01;<0,01;27.36650485;0.00798038;5.339805825;12.20671521;<0,01;<0,01;5.046521036
343;62AA2;1203.1;721.12;98;481.98;40.06150777;6;2;2;AA;25;425.466715;0.22275;44.401;9.925305568;3.40E-02;<0,01;<0,01;<0,01;0.053689452;6.79E-02;2.26E-02;<0,01;0.758261657;15.85559077;0.082401539;<0,01;<0,01;0.011588954;22.52150294;<0,01;<0,01;<0,01;0.215029425;0.001705523;1.686283386;<0,01;<0,01;201.1090991;0.004107062;3.146220009;3.463105478;<0,01;<0,01;2.602987777
361;63AA2;1286.9;840.93;97;445.97;34.65459632;6;3;2;AA;25;441.4363846;0.11226;48.223;3.487248841;<0,01;<0,01;<0,01;<0,01;0.044783617;5.80E-02;4.83E-02;0.115919629;0.888717156;6.684698609;0.063475657;<0,01;0.202859351;0.008562597;18.15108192;<0,01;5.18E-04;9.66E-03;1.93E-02;0.000758308;1.410355487;<0,01;<0,01;3.622488408;0.00424459;2.559891808;1.651854714;<0,01;<0,01;3.313369397
379;64AA2;2237.6;1423.05;96;814.55;36.40284233;6;4;2;AA;25;536.0602172;0.3115;45.56;15.98563089;3.37E-02;<0,01;<0,01;<0,01;0.22519084;0.145936237;<0,01;7.86E-02;2.267624607;22.3843736;0.015749888;<0,01;8.98E-02;0.087101482;181.4099686;<0,01;<0,01;0.954198473;0.157162101;0.005484957;0.516389762;<0,01;<0,01;24.60709475;0.015783565;17.88280198;0.942972609;3.423888639;<0,01;4.759766502
397;65AA2;2709.7;1644.79;97;1064.91;39.2999225;6;5;2;AA;25;527.6217885;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
3;11AA4;1283.5;791.79;86;491.71;38.3100896;1;1;4;AA;25;417.5344934;0.1939;49.26;13.56546573;2.20E-02;<0,01;<0,01;<0,01;0.080338313;0.120826011;<0,01;0.230667838;1.548769772;6.206063269;0.058919156;<0,01;0.131810193;0.015795255;38.17003515;<0,01;1.19E-04;<0,01;0.219683656;0.001359842;1.746485062;<0,01;<0,01;10.1384007;0.00758348;4.34973638;1.944200351;<0,01;<0,01;4.481546573
39;12AA4;1042.8;538.46;90;504.34;48.36401995;1;2;4;AA;25;327.8739679;0.1793;49.43;47.64471058;7.98E-02;<0,01;<0,01;<0,01;0.086047904;0.279441118;2.00E-02;1.417165669;2.045908184;20.48902196;0.073283433;<0,01;0.169660679;0.015469062;48.67265469;<0,01;<0,01;5.99E-02;0.269461078;0.003060878;2.055888224;<0,01;<0,01;30.71856287;0.008757485;5.129740519;9.680638723;<0,01;<0,01;5.548902196
75;13AA4;823.3;443.65;82;379.65;46.11320296;1;3;4;AA;25;275.5056724;0.10321;47.593;13.03578084;8.39E-02;<0,01;<0,01;<0,01;0.069241521;0.232948192;<0,01;0.102497205;2.124487514;3.904211703;0.053242639;<0,01;0.149086843;0.012476705;56.41073425;<0,01;2.00E-04;3.73E-02;0.214312337;0.00463101;1.239284383;<0,01;<0,01;34.91427507;0.007308051;3.419679463;1.071561685;<0,01;<0,01;3.531494596
111;14AA4;1312.8;645.64;90;667.16;50.81962218;1;4;4;AA;25;321.8945805;0.20075;48.44;38.6096759;7.05E-02;<0,01;<0,01;<0,01;0.072052607;0.246594645;<0,01;2.137153593;1.385627055;22.44011273;0.067402536;<0,01;0.410991076;0.014138093;38.70361672;<0,01;4.88E-04;5.87E-02;0.70455613;0.001311649;1.444340066;<0,01;<0,01;97.14654767;0.00565876;5.27242837;12.99906059;<0,01;<0,01;7.808830437
123;15AA4;900.9;446.72;90;454.18;50.41403041;1;5;4;AA;25;280.1724384;0.1667;48.61;47.93062201;0.14354067;<0,01;<0,01;<0,01;0.135406699;0.394736842;<0,01;0.227272727;12.30861244;7.858851675;0.082320574;<0,01;0.28708134;0.021949761;81.31578947;<0,01;1.30E-04;0.155502392;0.490430622;0.003206938;2.129186603;<0,01;<0,01;11.12440191;0.011186603;6.423444976;0.705741627;<0,01;<0,01;8.277511962
