Number;DW;E_W;Device_w;Eth_percentage;Total volume displaced;Ethanol density (g/cm3 20ºC;volume of the sample;Density_g_cm3;Density_kg_m3
40;237.032;639.72;33.78;96;605.94;0.805;752.7204969;0.314900419;314.9004192
327;212.459;244.6;25.03;96;219.57;0.805;272.757764;0.778929248;778.9292481
187;167.29;213.03;25.03;96;188;0.805;233.5403727;0.716321543;716.3215426
493;1.674;23.03;21.67;96;1.36;0.805;1.689440994;0.990860294;990.8602941
102;4.272;7.73;3.59;96;4.14;0.805;5.142857143;0.830666667;830.6666667
474;3.38;6.4;3.59;96;2.81;0.805;3.49068323;0.968291815;968.2918149
486;5.96;8.51;3.59;96;4.92;0.805;6.111801242;0.975162602;975.1626016
499;4.347;7.68;3.59;96;4.09;0.805;5.080745342;0.85558313;855.5831296
559;5.05;8.18;3.59;96;4.59;0.805;5.701863354;0.885675381;885.6753813
558;3.825;6.68;3.59;96;3.09;0.805;3.838509317;0.996480583;996.4805825
286;2.552;4.89;;96;;0.805;;;
495;3.302;6.28;;96;;0.805;;;
284;2.491;4.76;3,59 or 2,76 idk sorry;96;;0.805;;;
287;2.373;4.31;;96;;0.805;;;
289;1.522;4.4;;96;;0.805;;;
505;2.036;4.69;;96;;0.805;;;
494;4.312;7.8;;96;;0.805;;;
105;1.59;3.92;2.76;96;1.16;0.805;1.440993789;1.103405172;1103.405172
285;1.974;2.98;2.76;96;0.22;0.805;0.273291925;7.223045455;7223.045455
283;3.917;6.26;2.76;96;3.5;0.805;4.347826087;0.90091;900.91
103;4.25;7.67;2.76;96;4.91;0.805;6.099378882;0.696792261;696.7922607
288;6.12;9.25;2.76;96;6.49;0.805;8.062111801;0.759106317;759.1063174
492;3.724;7.27;2.76;96;4.51;0.805;5.602484472;0.6647051;664.7050998
280;5.273;7.74;2.76;96;4.98;0.805;6.186335404;0.85236245;852.3624498
101;4.793;7.7;2.76;96;4.94;0.805;6.136645963;0.781045547;781.0455466
99;3.674;6.82;2.76;96;4.06;0.805;5.043478261;0.728465517;728.4655172
104;3.887;7.16;2.76;96;4.4;0.805;5.465838509;0.711144318;711.1443182
100;1.722;2.66;2.76;96;-0.1;0.805;;;
470;3.491;7.85;2.76;96;5.09;0.805;6.322981366;0.552112967;552.1129666
497;3.77;7.26;2.76;96;4.5;0.805;5.590062112;0.674411111;674.4111111
281;2.819;5.84;2.76;96;3.08;0.805;3.826086957;0.736784091;736.7840909
498;2.802;5.94;2.76;96;3.18;0.805;3.950310559;0.709311321;709.3113208
469;3.684;7.19;2.76;96;4.43;0.805;5.50310559;0.669440181;669.4401806
475;4.135;7.01;2.76;96;4.25;0.805;5.279503106;0.783217647;783.2176471
76;178.61;220.28;26.33;96;193.95;0.805;240.931677;0.741330498;741.3304976
174;140.678;191.91;26.33;96;165.58;0.805;205.689441;0.68393399;683.9339896
