"sample_code_combined","Q10","sample_code","Code","Class","Species","DiamClass"
"0+389",3.11054470731147,389,"10-P6S4C4AA-b","4","AA",10
"0+39",3.34430056839132,39,"25-P1S2C4AA","4","AA",25
"0+390",3.60406781789291,390,"10-P6S4C1FS","1","FS",10
"0+391",2.90326231950326,391,"10-P6S4C1FS-b","1","FS",10
"0+392",3.12025574932073,392,"10-P6S4C2FS","2","FS",10
"0+393",4.23256383497023,393,"10-P6S4C2FS-b","2","FS",10
"0+394",3.43697458608677,394,"10-P6S4C4FS","4","FS",10
"0+395",2.9164335254682,395,"10-P6S4C4FS-b","4","FS",10
"0+396",2.37242768455562,396,"25-P6S5C1AA","1","AA",25
"0+397",1.21837998043954,397,"25-P6S5C2AA","2","AA",25
"0+398",Inf,398,"25-P6S5C4AA","4","AA",25
"0+399",Inf,399,"25-P6S5C1FS","1","FS",25
"0+4",3.22535632721505,4,"25-P1S1C1FS","1","FS",25
"0+40",1.62621722345434,40,"25-P1S2C1FS","1","FS",25
"0+400",Inf,400,"25-P6S5C2FS","2","FS",25
"0+401",1.91197815458206,401,"25-P6S5C4FS","4","FS",25
"0+402",4.28549033626245,402,"10-P6S5C1AA","1","AA",10
"0+403",1.54005540930359,403,"10-P6S5C1AA-b","1","AA",10
"0+404",2.08679221279414,404,"10-P6S5C2AA","2","AA",10
"0+405",2.9813797752461,405,"10-P6S5C2AA-b","2","AA",10
"0+406",2.83358529399443,406,"10-P6S5C4AA","4","AA",10
"0+407",4.536205502162,407,"10-P6S5C4AA-b","4","AA",10
"0+408",3.40621416602694,408,"10-P6S5C1FS","1","FS",10
"0+409",3.06585964417075,409,"10-P6S5C1FS-b","1","FS",10
"0+41",Inf,41,"25-P1S2C2FS","2","FS",25
"0+410",4.22647013608346,410,"10-P6S5C2FS","2","FS",10
"0+411",4.61437006528056,411,"10-P6S5C2FS-b","2","FS",10
"0+412",Inf,412,"10-P6S5C4FS","4","FS",10
"0+413",Inf,413,"10-P6S5C4FS-b","4","FS",10
"0+42",Inf,42,"25-P1S2C4FS","4","FS",25
"0+43",1.90516088244557,43,"10-P1S2C1AA","1","AA",10
"0+44",2.41221911650192,44,"10-P1S2C2AA","2","AA",10
"0+45",2.13791611276718,45,"10-P1S2C4AA","4","AA",10
"0+46",3.76953331143765,46,"10-P1S2C1FS","1","FS",10
"0+47",3.90869723911918,47,"10-P1S2C2FS","2","FS",10
"0+48",3.21335825494525,48,"10-P1S2C4FS","4","FS",10
"0+5",Inf,5,"25-P1S1C2FS","2","FS",25
"0+552",1,552,"01-P6S5C1FS-S","1","FS",1
"0+6",4.6678421589221,6,"25-P1S1C4FS","4","FS",25
"0+7",3.14821868716271,7,"10-P1S1C1AA","1","AA",10
"0+73",Inf,73,"25-P1S3C1AA","1","AA",25
"0+74",1.61522659077501,74,"25-P1S3C2AA","2","AA",25
"0+75",1.80415769694877,75,"25-P1S3C4AA","4","AA",25
"0+76",1.21626201263321,76,"25-P1S3C1FS","1","FS",25
"0+77",7.67398672087637,77,"25-P1S3C2FS","2","FS",25
"0+78",2.25240202681765,78,"25-P1S3C4FS","4","FS",25
"0+79",1.33754116870146,79,"10-P1S3C1AA","1","AA",10
"0+8",2.20789995282222,8,"10-P1S1C2AA","2","AA",10
"0+80",1.73293180444737,80,"10-P1S3C2AA","2","AA",10
"0+81",2.38250788138945,81,"10-P1S3C4AA","4","AA",10
"0+82",3.82613977516179,82,"10-P1S3C1FS","1","FS",10
"0+83",Inf,83,"10-P1S3C2FS","2","FS",10
"0+84",2.2212747650663,84,"10-P1S3C4FS","4","FS",10
"0+9",2.05821441563264,9,"10-P1S1C4AA","4","AA",10
"101+102",1.20702404581238,101,"01-P1S3C2AA-S","2","AA",1
"101+102",1.20702404581238,102,"01-P1S3C2AA-F","2","AA",1
"102+109",1,102,"01-P1S3C2AA-F","2","AA",1
"105+106",NA,105,"01-P1S3C4AA-S","4","AA",1
"105+106",NA,106,"01-P1S3C4AA-F","4","AA",1
"13+14",1.96540860881065,14,"01-P1S1C1AA-F","1","AA",1
"13+14",1.96540860881065,13,"01-P1S1C1AA-S","1","AA",1
"17+18",Inf,17,"01-P1S1C2AA-S","2","AA",1
"177+178",1,178,"10-P3S4C4AA","4","AA",10
"194+195",1.89805741810027,194,"01-P3S2C1AA-S","1","AA",1
"194+195",1.89805741810027,195,"01-P3S2C1AA-F","1","AA",1
"197+198",0.0783035751399866,197,"01-P3S2C1AA-Sp","1","AA",1
"197+198",0.0783035751399866,198,"01-P3S2C2AA-S","2","AA",1
"198+199",2.3698567047012,199,"01-P3S2C2AA-F","2","AA",1
"198+199",2.3698567047012,198,"01-P3S2C2AA-S","2","AA",1
"200+201",1.49681702013188,200,"01-P1S4C1AA-S","1","AA",1
"200+201",1.49681702013188,201,"01-P1S4C1AA-F","1","AA",1
"201+202",2.05023128326394,201,"01-P1S4C1AA-F","1","AA",1
"204+205",1.10403076102819,204,"01-P1S5C1AA-S","1","AA",1
"204+205",1.10403076102819,205,"01-P1S5C1AA-F","1","AA",1
"208+229",Inf,208,"01-P3S1C1AA-S","1","AA",1
"208+229",Inf,229,"01-P3S1C1AA-F","1","AA",1
"209+564",0.905365233556959,209,"01-P1S4C2AA-S","2","AA",1
"21+22",2.26408475308934,21,"01-P1S1C1FS-S","1","FS",1
"210+571",0.691221969609248,210,"01-P1S4C1FS-S","1","FS",1
"210+571",0.691221969609248,571,"01-P1S4C1FS-F","1","FS",1
"212+213",0.985705217222787,212,"01-P3S2C2AA-Sp","2","AA",1
"213+214",NA,213,"01-P3S2C4AA-S","4","AA",1
"215+216",1,215,"01-P3S2C4AA-W","4","AA",1
"217+221",Inf,217,"01-P3S2C1FS-S","1","FS",1
"217+221",Inf,221,"01-P3S2C2FS-S","2","FS",1
"218+219",0.617383863238005,219,"01-P3S2C1FS-W","1","FS",1
"218+219",0.617383863238005,218,"01-P3S2C1FS-F","1","FS",1
"225+226",Inf,225,"01-P3S2C4FS-F","4","FS",1
"225+226",Inf,226,"01-P3S2C4FS-S","4","FS",1
"228+229",1,228,"01-P3S2C4FS-Sp","4","FS",1
"229+330",1,330,"10-P6S1C1AA","1","AA",10
"232+233",Inf,232,"01-P3S1C2AA-S","2","AA",1
"232+233",Inf,233,"01-P3S1C2AA-F","2","AA",1
"236+238",NA,236,"01-P3S1C4AA-S","4","AA",1
"238+239",0,238,"01-P3S1C4AA-W","4","AA",1
"238+299",1,238,"01-P3S1C4AA-W","4","AA",1
"240+241",2.22044601935165,240,"01-P3S1C1FS-S","1","FS",1
"240+241",2.22044601935165,241,"01-P3S1C1FS-F","1","FS",1
"246+247",NA,246,"01-P3S1C2FS-W","2","FS",1
"246+247",NA,247,"01-P3S1C2FS-Sp","2","FS",1
"248+249",0,248,"01-P3S1C4FS-S","4","FS",1
"25+26",2.64749953411803,25,"01-P1S1C2FS-S","2","FS",1
"25+26",2.64749953411803,26,"01-P1S1C2FS-F","2","FS",1
"250+251",1,251,"01-P3S1C4FS-Sp","4","FS",1
"252+253",3.35462566392613,252,"01-P3S3C1AA-S","1","AA",1
"253+254",1,253,"01-P3S3C1AA-F","1","AA",1
"253+255",2.70778190828137e-07,253,"01-P3S3C1AA-F","1","AA",1
"256+258",1,256,"01-P3S3C2AA-S","2","AA",1
"257+258",1.17340379081878,257,"01-P3S3C2AA-F","2","AA",1
"260+261",0,260,"01-P3S3C4AA-S","4","AA",1
"260+261",0,261,"01-P3S3C4AA-F","4","AA",1
"264+265",2.18782393691377,264,"01-P3S3C1FS-S","1","FS",1
"264+265",2.18782393691377,265,"01-P3S3C1FS-F","1","FS",1
"264+267",1,264,"01-P3S3C1FS-S","1","FS",1
"265+267",1,265,"01-P3S3C1FS-F","1","FS",1
"268+269",2.8266467966839,268,"01-P3S3C2FS-S","2","FS",1
"269+271",1,271,"01-P3S3C2FS-Sp","2","FS",1
