"","V1","V4","V5","V6","V7","V8","V9","V10","V11","V2"
"127",127,"28-7-21 7:30",4,15.4375,18.625,22,2643,202,0,NA
"128",128,"28-7-21 7:45",4,15.4375,18.6875,22.1875,2643,202,0,NA
"129",129,"28-7-21 8:00",4,15.5,18.6875,22.125,2643,202,0,NA
"130",130,"28-7-21 8:15",4,15.5,18.8125,22.4375,2643,202,0,NA
"131",131,"28-7-21 8:30",4,15.5,18.9375,22.75,2643,202,0,NA
"132",132,"28-7-21 8:45",4,15.5,19,22.75,2643,202,0,NA
"133",133,"28-7-21 9:00",4,15.5,19,22.875,2644,202,0,NA
"134",134,"28-7-21 9:15",4,15.5625,19.0625,22.9375,2644,202,0,NA
"135",135,"28-7-21 9:30",4,15.5625,19.125,22.875,2643,202,0,NA
"136",136,"28-7-21 9:45",4,15.625,19.125,22.75,2643,202,0,NA
"137",137,"28-7-21 10:00",4,15.625,19.25,23.0625,2644,202,0,NA
"138",138,"28-7-21 10:15",4,15.625,19.4375,23.4375,2644,202,0,NA
"139",139,"28-7-21 10:30",4,15.625,19.4375,23.25,2644,202,0,NA
"140",140,"28-7-21 10:45",4,15.6875,19.375,23.1875,2644,202,0,NA
"141",141,"28-7-21 11:00",4,15.6875,19.625,23.75,2644,202,0,NA
"142",142,"28-7-21 11:15",4,15.75,19.5,23.0625,2644,202,0,NA
"143",143,"28-7-21 11:30",4,15.75,19.3125,22.5,2644,202,0,NA
"144",144,"28-7-21 11:45",4,15.75,19.125,22.125,2644,202,0,NA
"145",145,"28-7-21 12:00",4,15.75,19.0625,22,2644,202,0,NA
"146",146,"28-7-21 12:15",4,15.8125,19,22,2643,202,0,NA
"147",147,"28-7-21 12:30",4,15.875,19.25,22.75,2643,202,0,NA
"148",148,"28-7-21 12:45",4,15.875,19.25,22.8125,2644,202,0,NA
"149",149,"28-7-21 13:00",4,15.875,19.25,22.625,2643,202,0,NA
"150",150,"28-7-21 13:15",4,15.875,19.125,22.25,2643,202,0,NA
"151",151,"28-7-21 13:30",4,15.875,19,22.0625,2643,202,0,NA
"152",152,"28-7-21 13:45",4,15.875,19,22.0625,2643,202,0,NA
"153",153,"28-7-21 14:00",4,15.875,19,22.25,2643,202,0,NA
"154",154,"28-7-21 14:15",4,15.875,19,22.0625,2643,202,0,NA
"155",155,"28-7-21 14:30",4,15.875,19,22.0625,2643,202,0,NA
"156",156,"28-7-21 14:45",4,15.875,19,22.125,2643,202,0,NA
"157",157,"28-7-21 15:00",4,15.875,19,22.1875,2643,202,0,NA
"158",158,"28-7-21 15:15",4,15.875,19,22.1875,2643,202,0,NA
"159",159,"28-7-21 15:30",4,15.875,18.6875,21,2643,202,0,NA
"160",160,"28-7-21 15:45",4,15.875,18,19.5,2642,202,0,NA
"161",161,"28-7-21 16:00",4,15.875,18.125,20.375,2642,202,0,NA
"162",162,"28-7-21 16:15",4,15.875,18.375,21.125,2641,202,0,NA
"163",163,"28-7-21 16:30",4,15.875,18.375,20.75,2641,202,0,NA
"164",164,"28-7-21 16:45",4,15.875,18.125,20.1875,2641,202,0,NA
"165",165,"28-7-21 17:00",4,15.875,18,19.8125,2640,202,0,NA
"166",166,"28-7-21 17:15",4,15.875,17.875,19.6875,2640,202,0,NA
"167",167,"28-7-21 17:30",4,15.875,17.75,19.375,2640,202,0,NA
"168",168,"28-7-21 17:45",4,15.875,17.625,19.125,2640,202,0,NA
"169",169,"28-7-21 18:00",4,15.875,17.5,19,2640,202,0,NA
"170",170,"28-7-21 18:15",4,15.875,17.5,19,2640,202,0,NA
"171",171,"28-7-21 18:30",4,15.875,17.375,18.75,2640,202,0,NA
"172",172,"28-7-21 18:45",4,15.8125,17.25,18.5625,2640,202,0,NA
"173",173,"28-7-21 19:00",4,15.8125,17.25,18.5,2640,202,0,NA
"174",174,"28-7-21 19:15",4,15.75,17.125,18.375,2640,202,0,NA
"175",175,"28-7-21 19:30",4,15.75,17.125,18.3125,2639,202,0,NA
"176",176,"28-7-21 19:45",4,15.75,17,18.125,2639,202,0,NA
"177",177,"28-7-21 20:00",4,15.75,16.9375,17.875,2639,202,0,NA
"178",178,"28-7-21 20:15",4,15.75,16.875,17.75,2639,202,0,NA
"179",179,"28-7-21 20:30",4,15.75,16.75,17.6875,2639,202,0,NA
"180",180,"28-7-21 20:45",4,15.6875,16.8125,17.875,2639,202,0,NA
"181",181,"28-7-21 21:00",4,15.6875,16.8125,17.9375,2639,202,0,NA
"182",182,"28-7-21 21:15",4,15.625,16.875,18.375,2639,202,0,NA
"183",183,"28-7-21 21:30",4,15.625,17.125,18.875,2639,202,0,NA
"184",184,"28-7-21 21:45",4,15.625,17.375,19.625,2639,202,0,NA
"185",185,"28-7-21 22:00",4,15.625,17.625,20.375,2639,202,0,NA
"186",186,"28-7-21 22:15",4,15.625,17.875,21,2639,202,0,NA
"187",187,"28-7-21 22:30",4,15.5625,18,21.0625,2639,202,0,NA
"188",188,"28-7-21 22:45",4,15.5625,18,21,2639,202,0,NA
"189",189,"28-7-21 23:00",4,15.5625,18,21.125,2639,202,0,NA
"190",190,"28-7-21 23:15",4,15.5,18.125,21.3125,2639,202,0,NA
"191",191,"28-7-21 23:30",4,15.5,18.125,21.375,2639,202,0,NA
"192",192,"28-7-21 23:45",4,15.5,18.125,21.25,2639,202,0,NA
"193",193,"29-7-21 0:00",4,15.5,18.125,21.375,2639,202,0,NA
"194",194,"29-7-21 0:15",4,15.5,18.125,21.5,2639,202,0,NA
"195",195,"29-7-21 0:30",4,15.5,18.125,21.5,2639,202,0,NA
"196",196,"29-7-21 0:45",4,15.5,18.25,21.625,2639,202,0,NA
"197",197,"29-7-21 1:00",4,15.5,18.1875,21.5625,2639,202,0,NA
"198",198,"29-7-21 1:15",4,15.5,18.1875,21.5625,2639,202,0,NA
"199",199,"29-7-21 1:30",4,15.5,18.25,21.875,2638,202,0,NA
"200",200,"29-7-21 1:45",4,15.5,18.25,21.875,2638,202,0,NA
"201",201,"29-7-21 2:00",4,15.5,18.3125,22,2638,202,0,NA
"202",202,"29-7-21 2:15",4,15.5,18.25,21.875,2638,202,0,NA
"203",203,"29-7-21 2:30",4,15.5,18.25,21.875,2638,202,0,NA
"204",204,"29-7-21 2:45",4,15.5,18.25,22,2638,202,0,NA
"205",205,"29-7-21 3:00",4,15.5,18.375,22.0625,2638,202,0,NA
"206",206,"29-7-21 3:15",4,15.4375,18.25,21.875,2638,202,0,NA
"207",207,"29-7-21 3:30",4,15.4375,18.25,22,2638,202,0,NA
"208",208,"29-7-21 3:45",4,15.4375,18.25,21.875,2638,202,0,NA
"209",209,"29-7-21 4:00",4,15.4375,18.25,21.875,2638,202,0,NA
"210",210,"29-7-21 4:15",4,15.4375,18.25,21.875,2638,202,0,NA
"211",211,"29-7-21 4:30",4,15.4375,18.25,21.625,2638,202,0,NA
"212",212,"29-7-21 4:45",4,15.4375,18.25,21.75,2638,202,0,NA
"213",213,"29-7-21 5:00",4,15.375,18.375,22.25,2637,202,0,NA
"214",214,"29-7-21 5:15",4,15.375,18.1875,21.3125,2637,202,0,NA
"215",215,"29-7-21 5:30",4,15.375,17.875,20.625,2637,202,0,NA
"216",216,"29-7-21 5:45",4,15.375,17.8125,20.625,2637,202,0,NA
"217",217,"29-7-21 6:00",4,15.375,17.875,20.625,2637,202,0,NA
"218",218,"29-7-21 6:15",4,15.375,17.875,20.75,2637,202,0,NA
"219",219,"29-7-21 6:30",4,15.375,17.875,20.75,2637,202,0,NA
"220",220,"29-7-21 6:45",4,15.375,18,21.125,2637,202,0,NA
"221",221,"29-7-21 7:00",4,15.375,18.25,21.9375,2637,202,0,NA
"222",222,"29-7-21 7:15",4,15.375,18.5,22.5,2637,202,0,NA
"223",223,"29-7-21 7:30",4,15.375,18.6875,22.75,2637,202,0,NA
"224",224,"29-7-21 7:45",4,15.375,18.8125,23,2637,202,0,NA
"225",225,"29-7-21 8:00",4,15.375,18.875,23,2637,202,0,NA
"226",226,"29-7-21 8:15",4,15.4375,19,23.375,2637,202,0,NA
"227",227,"29-7-21 8:30",4,15.4375,19.125,23.625,2637,202,0,NA
"228",228,"29-7-21 8:45",4,15.4375,19.125,23.5,2636,202,0,NA
"229",229,"29-7-21 9:00",4,15.5,19.25,23.75,2636,202,0,NA
"230",230,"29-7-21 9:15",4,15.5,19.25,23.75,2636,202,0,NA
"231",231,"29-7-21 9:30",4,15.5,19.375,23.8125,2637,202,0,NA
"232",232,"29-7-21 9:45",4,15.5,19.375,23.5625,2636,202,0,NA
"233",233,"29-7-21 10:00",4,15.5,19.5,23.75,2637,202,0,NA
"234",234,"29-7-21 10:15",4,15.5625,19.375,23.4375,2636,202,0,NA
"235",235,"29-7-21 10:30",4,15.5625,19.125,22.9375,2636,202,0,NA
"236",236,"29-7-21 10:45",4,15.625,19,22.5,2636,202,0,NA
"237",237,"29-7-21 11:00",4,15.625,19.125,22.875,2636,202,0,NA
"238",238,"29-7-21 11:15",4,15.625,19.375,23.4375,2636,202,0,NA
"239",239,"29-7-21 11:30",4,15.625,19.3125,23.1875,2636,202,0,NA
"240",240,"29-7-21 11:45",4,15.6875,19.25,23.0625,2636,202,0,NA
"241",241,"29-7-21 12:00",4,15.75,19.25,22.875,2636,202,0,NA
"242",242,"29-7-21 12:15",4,15.75,19.1875,22.875,2636,202,0,NA
"243",243,"29-7-21 12:30",4,15.75,19.25,23,2636,202,0,NA
"244",244,"29-7-21 12:45",4,15.75,19.25,22.875,2636,202,0,NA
"245",245,"29-7-21 13:00",4,15.75,19.25,22.8125,2636,202,0,NA
"246",246,"29-7-21 13:15",4,15.8125,19.25,22.9375,2636,202,0,NA
"247",247,"29-7-21 13:30",4,15.8125,19.375,23,2636,202,0,NA
"248",248,"29-7-21 13:45",4,15.875,19.375,23.0625,2636,202,0,NA
"249",249,"29-7-21 14:00",4,15.875,19.375,23,2636,202,0,NA
"250",250,"29-7-21 14:15",4,15.875,19.375,22.9375,2636,202,0,NA
