"","Bark(%)","Waterpercentage","Class","DiamClass","Species","T3","T2","T1","Soil_moist","correctedArea","Plot...16","SubPlot"
"520",99,29.4372801875733,2,10,"FS",21.375,18.625,15,2683,168.883467589443,6,4
"521",100,37.3674492218412,2,10,"AA",22.375,18.9375,14.9375,2662,55.4418214974959,6,4
"522",99,37.9162462159435,1,10,"FS",22.375,18.9375,14.9375,2662,161.980699570827,6,4
"523",75,45.5684870188004,4,10,"FS",22.375,18.9375,14.9375,2662,88.7228847165227,6,4
"524",97,37.0866910866911,2,10,"AA",22.375,18.9375,14.9375,2662,46.5988185591593,6,4
"525",70,61.6538164996145,4,10,"FS",21.5,18.625,15.0625,2683,164.115104859418,6,4
"526",97,43.3333333333333,1,10,"AA",22.3125,19,14.9375,2662,43.267320085152,6,4
"527",97,49.6153846153846,4,10,"AA",22.3125,19,14.9375,2662,66.6444072961483,6,4
"528",98,27.8272884283247,2,10,"FS",22.3125,19,14.9375,2662,190.010554550915,6,4
"529",97,37.0866910866911,2,10,"AA",21.125,18.5,15,2658,65.5670268408192,6,4
"530",70,61.6538164996145,4,10,"FS",21.125,18.5,15,2658,163.850895905747,6,4
"531",97,43.3333333333333,1,10,"AA",21.125,18.5,15,2658,30.1080404845702,6,4
"532",97,49.6153846153846,4,10,"AA",20.5,17.9375,15.125,2679,60.63709099293,6,4
"533",98,27.8272884283247,2,10,"FS",20.5,17.9375,15.125,2679,205.53372801018,6,4
"534",92,54.6358792184725,1,10,"AA",21,18.375,15.0625,2658,19.7842190314893,6,4
"535",99,29.4372801875733,2,10,"FS",21,18.375,15.0625,2658,183.248623893403,6,4
"536",100,37.3674492218412,2,10,"AA",21,18.375,15.0625,2658,56.5130488209523,6,4
"537",99,37.9162462159435,1,10,"FS",21,18.375,15.0625,2658,156.121340284108,6,4
"538",75,45.5684870188004,4,10,"FS",21,18.375,15.0625,2658,76.3804568012803,6,4
"539",100,31.282759621892,1,1,"FS",22.375,18.375,14.6875,2669,0.464280223530312,6,4
"540",100,31.9275379156508,2,1,"FS",22.375,18.375,14.6875,2669,0.755676717650708,6,4
"541",40,35.1372935299173,4,1,"FS",22.375,18.375,14.6875,2669,0.690138853820434,6,4
"542",97.5,45.2385797348899,4,1,"AA",22.375,18.375,14.6875,2669,0.963389631035912,6,4
"543",100,30.7214125328983,2,1,"AA",20.6875,17.875,14.875,2650,0,6,4
"544",100,29.008710587658,1,1,"AA",22.875,18.5,14.6875,2669,2.11063819089519,6,4
"545",100,31.282759621892,1,1,"FS",22.5625,18.75,14.875,2665,0.29519474143017,6,4
"546",100,31.9275379156508,2,1,"FS",22.5625,18.75,14.875,2665,0.881370491731396,6,4
"547",40,35.1372935299173,4,1,"FS",20.5,18.9375,15.625,2440,2.06995593244844,6,4
"548",97.5,45.2385797348899,4,1,"AA",22.5,18.8125,14.875,2665,1.29762104909942,6,4
"549",100,30.7214125328983,2,1,"AA",22.5,18.8125,14.875,2665,0,6,4
"550",100,29.008710587658,1,1,"AA",22.5,18.8125,14.875,2665,3.13803610636017,6,4
"551",100,52.2856681105805,1,1,"FS",22,18.875,15,2660,1.98935873319104,6,4
"552",100,31.282759621892,1,1,"FS",22,18.875,15,2660,0.507971252958467,6,4
"553",100,31.9275379156508,2,1,"FS",22,18.875,15,2660,1.20204988292675,6,4
"554",40,35.1372935299173,4,1,"FS",21.75,18.75,15,2660,1.00220291875353,6,4
"555",97.5,45.2385797348899,4,1,"AA",21.75,18.75,15,2660,1.05027886620986,6,4
"556",100,30.7214125328983,2,1,"AA",21.75,18.75,15,2660,0,6,4
"557",100,29.008710587658,1,1,"AA",21.75,18.75,15,2660,3.47990308733489,6,4
"558",100,36.6674707514172,1,25,"AA",22.875,20.75,15.875,2059,4.31165616526629,1,1
"559",98,39.5695669343162,2,25,"AA",22.875,20.75,15.875,2059,5.86315419073898,1,1
"560",86,38.3100895987534,4,25,"AA",22.875,20.75,15.875,2059,5.25535324299744,1,1
"561",98,34.7209778796402,1,25,"FS",22.875,20.75,15.875,2059,2.84477919273294,1,1
"562",94,36.0666049953747,2,25,"FS",23.9375,21.4375,15.875,2026,3.5641368908504,1,1
"563",85,53.3838517788808,4,25,"FS",23,20.9375,15.875,2062,8.53252940361634,1,1
"564",100,36.6674707514172,1,25,"AA",23.25,21.375,16.125,2020,12.7229997249614,1,1
"565",100,36.6674707514172,1,25,"AA",23.25,21.375,16.125,2020,6.2395013278191,1,1
